ID	Icd1	Icd2	DiagnosisText	Comments	YearStart	YearEnd	DateIn	UserIn	DateOut	UserOut
1	1A04		Clostridium difficile		2023	9999	13/10/2023	PH		
2	1A04		Clostridium difficile colitis		2023	9999	13/10/2023	PH		
3	1A04		Clostridium difficile diarrhoea		2023	9999	13/10/2023	PH		
4	1A04		Clostridium difficile gastroenteritis		2023	9999	13/10/2023	PH		
5	1A04		Clostridium difficile infection		2023	9999	13/10/2023	PH		
6	1A06		Campylobacter enteritis		2023	9999	13/10/2023	PH		
7	1A06		Campylobacter gastroenteritis		2023	9999	13/10/2023	PH		
8	1A2Z		Viral gastroenteritis		2023	9999	13/10/2023	PH		
9	1A400		Colitis		2023	9999	13/10/2023	PH	19/12/2023	PH
10	1A400		Gastroenteritis		2023	9999	13/10/2023	PH		
11	1A400&XA03U9		Colitis		2023	9999	19/12/2023	PH		
12	1A400&XA03U9&XT5R		Acute colitis		2023	9999	19/12/2023	PH		
13	1A40Z		Acute gastroenteritis		2023	9999	13/10/2023	PH		
14	1A40Z		Enterocolitis		2023	9999	13/10/2023	PH		
15	1A40Z		Infective Colitis		2023	9999	13/10/2023	PH		
16	1B10Z		Pulmonary tuberculosis		2023	9999	13/10/2023	PH		
17	1B13Z		Miliary tuberculosis		2023	9999	06/12/2023	MN		
18	1B1Z		TB		2023	9999	13/10/2023	PH		
19	1B1Z		Tuberculosis		2023	9999	13/10/2023	PH		
20	1B53		Pneumococcal meningitis		2023	9999	13/10/2023	PH		
21	1B70Z		Abdominal wall cellulitis		2023	9999	13/10/2023	PH		
22	1B70Z		Cellulitis		2023	9999	13/10/2023	PH		
23	1B70Z&XA45A6		Cellulitis leg		2023	9999	13/10/2023	PH		
24	1B70Z&XA45A6		Cellulitis of leg		2023	9999	13/10/2023	PH	13/12/2023	PH
25	1B70Z&XA45A6		Cellulitis of legs		2023	9999	05/12/2023	PH	13/12/2023	PH
26	1B70Z&XA45A6		Leg cellulitis		2023	9999	13/10/2023	PH		
27	1B70Z&XA45A6		Lower limb cellulitis		2023	9999	13/10/2023	PH		
28	1B70Z&XK8G&XA45A6		Cellulitis left leg		2023	9999	13/12/2023	PH		
29	1B70Z&XK8G&XA45A6		Cellulitis of left leg		2023	9999	13/10/2023	PH	13/12/2023	PH
30	1B70Z&XK8G&XA45A6		Cellulitis of the left leg		2023	9999	13/10/2023	PH	13/12/2023	PH
